"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","phenophase_id","phenophase_description","first_yes_sample_size","mean_first_yes_year","mean_first_yes_doy","mean_first_yes_julian_date","se_first_yes_in_days","mean_numdays_since_prior_no","se_numdays_since_prior_no","last_yes_sample_size","mean_last_yes_year","mean_last_yes_doy","mean_last_yes_julian_date","se_last_yes_in_days","mean_numdays_until_next_no","se_numdays_until_next_no"
35875,42.542778,-72.172127,382,"MA",3,"Acer","rubrum","red maple","Plantae",371,"Breaking leaf buds",30,2018,123,2458242,0.368074621786,3.93333333333,0.291383277762,30,2018,129,2458248,0.8,3.33333333333,0.1206622848
35875,42.542778,-72.172127,382,"MA",3,"Acer","rubrum","red maple","Plantae",467,"Increasing leaf size",30,2018,127,2458246,0.387595001332,3.9,0.129986736724,30,2018,149,2458268,0.445668811625,5.2,0.0742781352708
35875,42.542778,-72.172127,382,"MA",3,"Acer","rubrum","red maple","Plantae",471,"Falling leaves",30,2018,281,2458400,1.84931384189,6.26666666667,0.433995956688,28,2018,300,2458419,0.857142857143,7.28571428571,0.285714285714
35875,42.542778,-72.172127,382,"MA",3,"Acer","rubrum","red maple","Plantae",483,"Leaves",30,2018,127,2458246,0.320500088164,3.76666666667,0.0785403232453,31,2018,295,2458414,4.90903730302,7.1935483871,0.268085024383
35875,42.542778,-72.172127,382,"MA",3,"Acer","rubrum","red maple","Plantae",498,"Colored leaves",30,2018,217,2458336,7.90180153085,4.46666666667,0.302226729739,30,2018,299,2458418,0.977133190528,7.26666666667,0.266666666667
35875,42.542778,-72.172127,382,"MA",3,"Acer","rubrum","red maple","Plantae",501,"Open flowers",11,2018,114,2458233,0.853771409591,6.18181818182,0.121967344227,11,2018,120,2458239,2.25006886947,5,0.587753813645
35875,42.542778,-72.172127,382,"MA",102,"Quercus","rubra","northern red oak","Plantae",371,"Breaking leaf buds",30,2018,124,2458243,0.297112541083,3.2,0.0742781352708,30,2018,131,2458250,0.707079688454,3.2,0.0742781352708
35875,42.542778,-72.172127,382,"MA",102,"Quercus","rubra","northern red oak","Plantae",467,"Increasing leaf size",30,2018,127,2458246,0.138961666756,4.03333333333,0.112273612148,30,2018,146,2458265,0.53691327239,5.63333333333,0.0894855453984
35875,42.542778,-72.172127,382,"MA",102,"Quercus","rubra","northern red oak","Plantae",471,"Falling leaves",30,2018,274,2458393,2.17429250395,5.43333333333,0.294326948291,30,2018,310,2458429,0,6,0
35875,42.542778,-72.172127,382,"MA",102,"Quercus","rubra","northern red oak","Plantae",483,"Leaves",30,2018,127,2458246,0.138961666756,3.93333333333,0.0463205555853,30,2018,310,2458429,0.2,6.03333333333,0.0333333333333
35875,42.542778,-72.172127,382,"MA",102,"Quercus","rubra","northern red oak","Plantae",498,"Colored leaves",30,2018,218,2458337,6.86361108223,4.4,0.30550504633,30,2018,310,2458429,0.2,6.03333333333,0.0333333333333
35875,42.542778,-72.172127,382,"MA",102,"Quercus","rubra","northern red oak","Plantae",501,"Open flowers",19,2018,133,2458252,1.02552826285,3.31578947368,0.109561368393,19,2018,146,2458265,4.07822102569,5.26315789474,0.294611502171
35876,42.538097,-72.172607,345,"MA",102,"Quercus","rubra","northern red oak","Plantae",471,"Falling leaves",0,-9999,-9999,-9999,-9999,-9999,-9999,3,2018,310,2458429,0,6,0
35876,42.538097,-72.172607,345,"MA",102,"Quercus","rubra","northern red oak","Plantae",483,"Leaves",0,-9999,-9999,-9999,-9999,-9999,-9999,3,2018,310,2458429,0,6,0
35876,42.538097,-72.172607,345,"MA",102,"Quercus","rubra","northern red oak","Plantae",498,"Colored leaves",0,-9999,-9999,-9999,-9999,-9999,-9999,3,2018,310,2458429,0,6,0
